Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
39863464,When All Is Said,Anne  Griffin,"Griffin, Anne",,"=""125020058X""","=""9781250200587""",0,4.08,Thomas Dunne Books,Hardcover,326,2019,2019,,2019/04/02,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
35133917,As Bright as Heaven,Susan Meissner,"Meissner, Susan",,"=""0399585966""","=""9780399585968""",3,4.07,Berkley Books,Hardcover,387,2018,2018,2019/03/31,2018/01/14,,,read,3.5 stars. Loved the first three quarters but not the end. ,,,1,,,0,,,,,
40131144,More Than Words,Jill Santopolo,"Santopolo, Jill",,"=""""","=""""",0,3.52,G.P. Putnam's Sons,Kindle Edition,352,2019,2019,,2019/03/25,to-read,to-read (#50),to-read,,,,0,,,0,,,,,
1362104,The Glass Castle,Jeannette Walls,"Walls, Jeannette",Julia Gibson,"=""1428129820""","=""9781428129825""",5,4.26,,Audio CD,11,2005,2005,2019/03/14,2019/03/03,audiobook,audiobook (#118),read,,,,1,,,0,,,,,
25147917,At the Edge of the Orchard,Tracy Chevalier,"Chevalier, Tracy","Mark Bramhall, Hillary Huber, Kirby Heyborne, Cassandra Morris","=""0698411102""","=""9780698411104""",3,3.62,Penguin Audio,Audiobook,9,2016,2016,2019/02/28,2019/02/28,audiobook,audiobook (#117),read,,,,1,,,0,,,,,
22748328,A Curious Mind: The Secret to a Bigger Life,Brian Grazer,"Grazer, Brian",,"=""1442382090""","=""9781442382091""",2,3.36,Simon  Schuster Audio,Audiobook,,2015,2014,2019/02/22,2019/02/22,audiobook,audiobook (#116),read,,,,1,,,0,,,,,
27835149,Britt-Marie Was Here,Fredrik Backman,"Backman, Fredrik",Joan Walker,"=""1508216665""","=""9781508216667""",4,4.07,Simon  Schuster Audio,Audiobook,9,2016,2014,2019/02/19,2019/02/07,audiobook,audiobook (#115),read,,,,1,,,0,,,,,
35526438,Lights All Night Long,Lydia  Fitzpatrick,"Fitzpatrick, Lydia",,"=""""","=""""",0,3.99,Penguin Press,Kindle Edition,352,2019,2019,,2019/02/17,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
133518,The Things They Carried,Tim O'Brien,"O'Brien, Tim",,"=""0767902890""","=""9780767902892""",0,4.13,Broadway Books,Paperback,246,1998,1990,,2019/02/16,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
13538873,"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",Robin Sloan,"Sloan, Robin",,"=""0374214913""","=""9780374214913""",0,3.75,"Farrar, Straus and Giroux",Hardcover,288,2012,2012,,2019/02/16,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
